ID,Datetime,Count,year,month,day,Hour,Day,Weekend
0,25-08-2012 00:00,8,2012,8,25,0,5,1
1,25-08-2012 01:00,2,2012,8,25,1,5,1
2,25-08-2012 02:00,6,2012,8,25,2,5,1
3,25-08-2012 03:00,2,2012,8,25,3,5,1
4,25-08-2012 04:00,2,2012,8,25,4,5,1
5,25-08-2012 05:00,2,2012,8,25,5,5,1
6,25-08-2012 06:00,2,2012,8,25,6,5,1
7,25-08-2012 07:00,2,2012,8,25,7,5,1
8,25-08-2012 08:00,6,2012,8,25,8,5,1
9,25-08-2012 09:00,2,2012,8,25,9,5,1
10,25-08-2012 10:00,2,2012,8,25,10,5,1
11,25-08-2012 11:00,6,2012,8,25,11,5,1
12,25-08-2012 12:00,4,2012,8,25,12,5,1
13,25-08-2012 13:00,2,2012,8,25,13,5,1
14,25-08-2012 14:00,6,2012,8,25,14,5,1
15,25-08-2012 15:00,2,2012,8,25,15,5,1
16,25-08-2012 16:00,2,2012,8,25,16,5,1
17,25-08-2012 17:00,2,2012,8,25,17,5,1
18,25-08-2012 18:00,2,2012,8,25,18,5,1
19,25-08-2012 19:00,2,2012,8,25,19,5,1
20,25-08-2012 20:00,2,2012,8,25,20,5,1
21,25-08-2012 21:00,6,2012,8,25,21,5,1
22,25-08-2012 22:00,2,2012,8,25,22,5,1
23,25-08-2012 23:00,2,2012,8,25,23,5,1
24,26-08-2012 00:00,4,2012,8,26,0,6,1
25,26-08-2012 01:00,6,2012,8,26,1,6,1
26,26-08-2012 02:00,2,2012,8,26,2,6,1
27,26-08-2012 03:00,4,2012,8,26,3,6,1
28,26-08-2012 04:00,2,2012,8,26,4,6,1
29,26-08-2012 05:00,2,2012,8,26,5,6,1
30,26-08-2012 06:00,2,2012,8,26,6,6,1
31,26-08-2012 07:00,2,2012,8,26,7,6,1
32,26-08-2012 08:00,2,2012,8,26,8,6,1
33,26-08-2012 09:00,4,2012,8,26,9,6,1
34,26-08-2012 10:00,2,2012,8,26,10,6,1
35,26-08-2012 11:00,2,2012,8,26,11,6,1
36,26-08-2012 12:00,8,2012,8,26,12,6,1
37,26-08-2012 13:00,6,2012,8,26,13,6,1
38,26-08-2012 14:00,6,2012,8,26,14,6,1
39,26-08-2012 15:00,6,2012,8,26,15,6,1
40,26-08-2012 16:00,2,2012,8,26,16,6,1
41,26-08-2012 17:00,4,2012,8,26,17,6,1
42,26-08-2012 18:00,4,2012,8,26,18,6,1
43,26-08-2012 19:00,4,2012,8,26,19,6,1
44,26-08-2012 20:00,2,2012,8,26,20,6,1
45,26-08-2012 21:00,2,2012,8,26,21,6,1
46,26-08-2012 22:00,4,2012,8,26,22,6,1
47,26-08-2012 23:00,6,2012,8,26,23,6,1
48,27-08-2012 00:00,6,2012,8,27,0,0,0
49,27-08-2012 01:00,2,2012,8,27,1,0,0
50,27-08-2012 02:00,2,2012,8,27,2,0,0
51,27-08-2012 03:00,2,2012,8,27,3,0,0
52,27-08-2012 04:00,2,2012,8,27,4,0,0
53,27-08-2012 05:00,2,2012,8,27,5,0,0
54,27-08-2012 06:00,4,2012,8,27,6,0,0
55,27-08-2012 07:00,2,2012,8,27,7,0,0
56,27-08-2012 08:00,2,2012,8,27,8,0,0
57,27-08-2012 09:00,2,2012,8,27,9,0,0
58,27-08-2012 10:00,2,2012,8,27,10,0,0
59,27-08-2012 11:00,2,2012,8,27,11,0,0
60,27-08-2012 12:00,2,2012,8,27,12,0,0
61,27-08-2012 13:00,2,2012,8,27,13,0,0
62,27-08-2012 14:00,2,2012,8,27,14,0,0
63,27-08-2012 15:00,4,2012,8,27,15,0,0
64,27-08-2012 16:00,2,2012,8,27,16,0,0
65,27-08-2012 17:00,2,2012,8,27,17,0,0
66,27-08-2012 18:00,4,2012,8,27,18,0,0
67,27-08-2012 19:00,2,2012,8,27,19,0,0
68,27-08-2012 20:00,4,2012,8,27,20,0,0
69,27-08-2012 21:00,2,2012,8,27,21,0,0
70,27-08-2012 22:00,2,2012,8,27,22,0,0
71,27-08-2012 23:00,4,2012,8,27,23,0,0
72,28-08-2012 00:00,2,2012,8,28,0,1,0
73,28-08-2012 01:00,2,2012,8,28,1,1,0
74,28-08-2012 02:00,2,2012,8,28,2,1,0
75,28-08-2012 03:00,2,2012,8,28,3,1,0
76,28-08-2012 04:00,2,2012,8,28,4,1,0
77,28-08-2012 05:00,2,2012,8,28,5,1,0
78,28-08-2012 06:00,2,2012,8,28,6,1,0
79,28-08-2012 07:00,2,2012,8,28,7,1,0
80,28-08-2012 08:00,4,2012,8,28,8,1,0
81,28-08-2012 09:00,4,2012,8,28,9,1,0
82,28-08-2012 10:00,2,2012,8,28,10,1,0
83,28-08-2012 11:00,2,2012,8,28,11,1,0
84,28-08-2012 12:00,2,2012,8,28,12,1,0
85,28-08-2012 13:00,2,2012,8,28,13,1,0
86,28-08-2012 14:00,2,2012,8,28,14,1,0
87,28-08-2012 15:00,2,2012,8,28,15,1,0
88,28-08-2012 16:00,2,2012,8,28,16,1,0
89,28-08-2012 17:00,4,2012,8,28,17,1,0
90,28-08-2012 18:00,2,2012,8,28,18,1,0
91,28-08-2012 19:00,2,2012,8,28,19,1,0
92,28-08-2012 20:00,2,2012,8,28,20,1,0
93,28-08-2012 21:00,4,2012,8,28,21,1,0
94,28-08-2012 22:00,4,2012,8,28,22,1,0
95,28-08-2012 23:00,2,2012,8,28,23,1,0
96,29-08-2012 00:00,4,2012,8,29,0,2,0
97,29-08-2012 01:00,6,2012,8,29,1,2,0
98,29-08-2012 02:00,2,2012,8,29,2,2,0
99,29-08-2012 03:00,2,2012,8,29,3,2,0
100,29-08-2012 04:00,2,2012,8,29,4,2,0
101,29-08-2012 05:00,2,2012,8,29,5,2,0
102,29-08-2012 06:00,2,2012,8,29,6,2,0
103,29-08-2012 07:00,2,2012,8,29,7,2,0
104,29-08-2012 08:00,2,2012,8,29,8,2,0
105,29-08-2012 09:00,2,2012,8,29,9,2,0
106,29-08-2012 10:00,4,2012,8,29,10,2,0
107,29-08-2012 11:00,2,2012,8,29,11,2,0
108,29-08-2012 12:00,2,2012,8,29,12,2,0
109,29-08-2012 13:00,2,2012,8,29,13,2,0
110,29-08-2012 14:00,4,2012,8,29,14,2,0
111,29-08-2012 15:00,2,2012,8,29,15,2,0
112,29-08-2012 16:00,2,2012,8,29,16,2,0
113,29-08-2012 17:00,2,2012,8,29,17,2,0
114,29-08-2012 18:00,2,2012,8,29,18,2,0
115,29-08-2012 19:00,2,2012,8,29,19,2,0
116,29-08-2012 20:00,2,2012,8,29,20,2,0
117,29-08-2012 21:00,2,2012,8,29,21,2,0
118,29-08-2012 22:00,2,2012,8,29,22,2,0
119,29-08-2012 23:00,4,2012,8,29,23,2,0
120,30-08-2012 00:00,2,2012,8,30,0,3,0
121,30-08-2012 01:00,8,2012,8,30,1,3,0
122,30-08-2012 02:00,4,2012,8,30,2,3,0
123,30-08-2012 03:00,2,2012,8,30,3,3,0
124,30-08-2012 04:00,4,2012,8,30,4,3,0
125,30-08-2012 05:00,2,2012,8,30,5,3,0
126,30-08-2012 06:00,2,2012,8,30,6,3,0
127,30-08-2012 07:00,2,2012,8,30,7,3,0
128,30-08-2012 08:00,2,2012,8,30,8,3,0
129,30-08-2012 09:00,2,2012,8,30,9,3,0
130,30-08-2012 10:00,2,2012,8,30,10,3,0
131,30-08-2012 11:00,4,2012,8,30,11,3,0
132,30-08-2012 12:00,2,2012,8,30,12,3,0
133,30-08-2012 13:00,2,2012,8,30,13,3,0
134,30-08-2012 14:00,2,2012,8,30,14,3,0
135,30-08-2012 15:00,4,2012,8,30,15,3,0
136,30-08-2012 16:00,4,2012,8,30,16,3,0
137,30-08-2012 17:00,2,2012,8,30,17,3,0
138,30-08-2012 18:00,4,2012,8,30,18,3,0
139,30-08-2012 19:00,2,2012,8,30,19,3,0
140,30-08-2012 20:00,6,2012,8,30,20,3,0
141,30-08-2012 21:00,4,2012,8,30,21,3,0
142,30-08-2012 22:00,2,2012,8,30,22,3,0
143,30-08-2012 23:00,4,2012,8,30,23,3,0
144,31-08-2012 00:00,6,2012,8,31,0,4,0
145,31-08-2012 01:00,4,2012,8,31,1,4,0
146,31-08-2012 02:00,2,2012,8,31,2,4,0
147,31-08-2012 03:00,2,2012,8,31,3,4,0
148,31-08-2012 04:00,2,2012,8,31,4,4,0
149,31-08-2012 05:00,2,2012,8,31,5,4,0
150,31-08-2012 06:00,2,2012,8,31,6,4,0
151,31-08-2012 07:00,6,2012,8,31,7,4,0
152,31-08-2012 08:00,2,2012,8,31,8,4,0
